System_Timestamp,	GPS_Timestamp	Latitude,	Longitude,	Altitude
13:20:15.91,		,	0.0,	0.0,	None
13:20:16.28,		,	0.0,	0.0,	None
13:20:16.28,		,	0.0,	0.0,	None
13:20:17.27,		,	0.0,	0.0,	None
13:20:18.27,		,	0.0,	0.0,	None
13:20:19.27,		,	0.0,	0.0,	None
13:20:20.27,		,	0.0,	0.0,	None
13:20:21.27,		,	0.0,	0.0,	None
13:20:22.27,		,	0.0,	0.0,	None
13:20:23.27,		,	0.0,	0.0,	None
13:20:24.27,		,	0.0,	0.0,	None
13:20:25.27,		,	0.0,	0.0,	None
13:20:26.27,		,	0.0,	0.0,	None
13:20:27.27,		,	0.0,	0.0,	None
13:20:28.27,		,	0.0,	0.0,	None
13:20:29.27,		,	0.0,	0.0,	None
13:20:30.27,		,	0.0,	0.0,	None
13:20:31.28,		,	0.0,	0.0,	None
13:20:32.27,		,	0.0,	0.0,	None
13:20:33.27,		,	0.0,	0.0,	None
13:20:34.27,		,	0.0,	0.0,	None
13:20:35.28,		,	0.0,	0.0,	None
13:20:36.27,		,	0.0,	0.0,	None
13:20:37.27,		,	0.0,	0.0,	None
13:20:38.27,		,	0.0,	0.0,	None
13:20:39.27,		,	0.0,	0.0,	None
13:20:40.27,		,	0.0,	0.0,	None
13:20:41.27,		,	0.0,	0.0,	None
13:20:42.27,		,	0.0,	0.0,	None
13:20:43.27,		,	0.0,	0.0,	None
13:20:44.27,		,	0.0,	0.0,	None
13:20:45.27,		,	0.0,	0.0,	None
13:20:46.27,		,	0.0,	0.0,	None
13:20:47.27,		,	0.0,	0.0,	None
13:20:48.27,		,	0.0,	0.0,	None
13:20:49.28,		,	0.0,	0.0,	None
13:20:50.27,		,	0.0,	0.0,	None
13:20:51.27,		,	0.0,	0.0,	None
13:20:52.28,		,	0.0,	0.0,	None
13:20:53.27,		,	0.0,	0.0,	None
13:20:54.28,		,	0.0,	0.0,	None
13:20:55.28,		,	0.0,	0.0,	None
13:20:56.27,		,	0.0,	0.0,	None
13:20:57.27,		,	0.0,	0.0,	None
13:20:58.27,		,	0.0,	0.0,	None
13:20:59.27,		,	0.0,	0.0,	None
13:21:00.27,		,	0.0,	0.0,	None
13:21:01.27,		,	0.0,	0.0,	None
13:21:02.27,		,	0.0,	0.0,	None
13:21:03.27,		,	0.0,	0.0,	None
13:21:04.27,		,	0.0,	0.0,	None
13:21:05.27,		,	0.0,	0.0,	None
13:21:06.27,		,	0.0,	0.0,	None
13:21:07.28,		,	0.0,	0.0,	None
13:21:08.27,		,	0.0,	0.0,	None
13:21:09.27,		,	0.0,	0.0,	None
13:21:10.27,		,	0.0,	0.0,	None
13:21:11.27,		,	0.0,	0.0,	None
13:21:14.28,		,	0.0,	0.0,	None
13:21:15.27,		,	0.0,	0.0,	None
13:21:16.27,		,	0.0,	0.0,	None
13:21:17.28,		,	0.0,	0.0,	None
13:21:18.28,		,	0.0,	0.0,	None
13:21:19.27,		,	0.0,	0.0,	None
13:21:20.27,		,	0.0,	0.0,	None
13:21:21.27,		,	0.0,	0.0,	None
13:21:22.27,		,	0.0,	0.0,	None
13:21:23.27,		,	0.0,	0.0,	None
13:21:24.27,		,	0.0,	0.0,	None
13:21:25.27,		,	0.0,	0.0,	None
13:21:26.28,		,	0.0,	0.0,	None
13:21:27.28,		,	0.0,	0.0,	None
13:21:28.28,		,	0.0,	0.0,	None
13:21:29.27,		,	0.0,	0.0,	None
13:21:30.27,		,	0.0,	0.0,	None
13:21:31.27,		,	0.0,	0.0,	None
13:21:32.27,		,	0.0,	0.0,	None
13:21:33.27,		,	0.0,	0.0,	None
13:21:34.27,		,	0.0,	0.0,	None
13:21:35.28,		,	0.0,	0.0,	None
13:21:36.27,		,	0.0,	0.0,	None
13:21:37.27,		,	0.0,	0.0,	None
13:21:38.27,		,	0.0,	0.0,	None
13:21:39.27,		,	0.0,	0.0,	None
13:21:40.27,		,	0.0,	0.0,	None
13:21:41.27,		,	0.0,	0.0,	None
13:21:42.27,		,	0.0,	0.0,	None
13:21:43.27,		,	0.0,	0.0,	None
13:21:44.27,		,	0.0,	0.0,	None
13:21:45.27,		,	0.0,	0.0,	None
13:21:46.27,		,	0.0,	0.0,	None
13:21:47.27,		,	0.0,	0.0,	None
13:21:48.27,		,	0.0,	0.0,	None
13:21:49.27,		,	0.0,	0.0,	None
13:21:50.27,		,	0.0,	0.0,	None
13:21:51.27,		,	0.0,	0.0,	None
13:21:52.27,		,	0.0,	0.0,	None
13:21:53.28,		,	0.0,	0.0,	None
13:21:54.27,		,	0.0,	0.0,	None
13:21:55.27,		,	0.0,	0.0,	None
13:21:56.27,		,	0.0,	0.0,	None
13:21:57.28,		,	0.0,	0.0,	None
13:21:58.28,		,	0.0,	0.0,	None
13:21:59.27,		,	0.0,	0.0,	None
13:22:00.27,		,	0.0,	0.0,	None
13:22:01.27,		,	0.0,	0.0,	None
13:22:02.27,		,	0.0,	0.0,	None
13:22:03.27,		,	0.0,	0.0,	None
13:22:04.27,		,	0.0,	0.0,	None
13:22:05.28,		,	0.0,	0.0,	None
13:22:06.27,		,	0.0,	0.0,	None
13:22:07.28,		,	0.0,	0.0,	None
13:22:08.27,		,	0.0,	0.0,	None
13:22:09.28,		,	0.0,	0.0,	None
13:22:10.27,		,	0.0,	0.0,	None
13:22:11.27,		,	0.0,	0.0,	None
13:22:12.27,		,	0.0,	0.0,	None
13:22:13.27,		,	0.0,	0.0,	None
13:22:14.27,		,	0.0,	0.0,	None
13:22:15.27,		,	0.0,	0.0,	None
13:22:16.28,		,	0.0,	0.0,	None
13:22:17.27,		,	0.0,	0.0,	None
13:22:18.27,		,	0.0,	0.0,	None
13:22:19.27,		,	0.0,	0.0,	None
13:22:20.27,		,	0.0,	0.0,	None
13:22:21.27,		,	0.0,	0.0,	None
13:22:22.27,		,	0.0,	0.0,	None
13:22:23.27,		,	0.0,	0.0,	None
13:22:24.27,		,	0.0,	0.0,	None
13:22:25.28,		,	0.0,	0.0,	None
13:22:26.27,		,	0.0,	0.0,	None
13:22:27.27,		,	0.0,	0.0,	None
13:22:28.27,		,	0.0,	0.0,	None
13:22:29.27,		,	0.0,	0.0,	None
13:22:30.27,		,	0.0,	0.0,	None
13:22:31.27,		,	0.0,	0.0,	None
13:22:32.27,		,	0.0,	0.0,	None
13:22:33.27,		,	0.0,	0.0,	None
13:22:34.27,		,	0.0,	0.0,	None
13:22:35.27,		,	0.0,	0.0,	None
13:22:36.27,		,	0.0,	0.0,	None
13:22:37.28,		,	0.0,	0.0,	None
13:22:38.27,		,	0.0,	0.0,	None
13:22:39.27,		,	0.0,	0.0,	None
13:22:40.27,		,	0.0,	0.0,	None
13:22:41.28,		,	0.0,	0.0,	None
13:22:42.27,		,	0.0,	0.0,	None
13:22:43.27,		,	0.0,	0.0,	None
13:22:44.27,		,	0.0,	0.0,	None
13:22:45.27,		,	0.0,	0.0,	None
13:22:46.27,		,	0.0,	0.0,	None
13:22:47.27,		,	0.0,	0.0,	None
13:22:48.28,		,	0.0,	0.0,	None
13:22:49.27,		,	0.0,	0.0,	None
13:22:50.27,		,	0.0,	0.0,	None
13:22:51.27,		,	0.0,	0.0,	None
13:22:52.27,		,	0.0,	0.0,	None
