System_Timestamp,	GPS_Timestamp	Latitude,	Longitude,	Altitude
15:30:35.80,	04:58:34,	-34.611761,	148.255543833,	29843.1
15:30:36.80,	04:58:35,	-34.6117876667,	148.255559667,	29850.8
15:30:37.80,	04:58:36,	-34.611802,	148.2555525,	29857.6
15:30:38.80,	04:58:37,	-34.6118041667,	148.255522,	29864.0
15:30:39.80,	04:58:38,	-34.6118033333,	148.2554715,	29870.8
15:30:40.80,	04:58:39,	-34.6118143333,	148.2554135,	29878.2
15:30:41.80,	04:58:40,	-34.6118496667,	148.255357833,	29886.1
15:30:42.80,	04:58:41,	-34.611912,	148.2553095,	29893.3
15:30:43.80,	04:58:42,	-34.611997,	148.255271167,	29899.9
15:30:44.80,	04:58:43,	-34.6120915,	148.255248667,	29906.1
15:30:45.80,	04:58:44,	-34.6121781667,	148.255240333,	29912.9
15:30:46.80,	04:58:45,	-34.6122483333,	148.255248,	29920.0
15:30:47.80,	04:58:46,	-34.6122993333,	148.255263667,	29927.5
15:30:48.80,	04:58:47,	-34.6123345,	148.255281167,	29934.5
15:30:49.81,	04:58:48,	-34.6123573333,	148.2552985,	29941.0
15:30:50.80,	04:58:49,	-34.6123753333,	148.255311833,	29947.5
15:30:51.80,	04:58:50,	-34.6123956667,	148.255321167,	29954.5
15:30:52.80,	04:58:51,	-34.6124246667,	148.255328,	29962.4
15:30:53.80,	04:58:52,	-34.6124666667,	148.255330333,	29970.8
15:30:54.81,	04:58:53,	-34.6125248333,	148.25532,	29978.4
15:30:55.80,	04:58:54,	-34.612599,	148.2552935,	29985.0
15:30:56.80,	04:58:55,	-34.6126831667,	148.255253167,	29991.3
15:30:57.80,	04:58:56,	-34.6127626667,	148.255209833,	29998.5
15:30:58.80,	04:58:57,	-34.6128201667,	148.255175,	30006.4
15:30:59.80,	04:58:58,	-34.6128515,	148.255150333,	30014.2
15:31:00.80,	04:58:59,	-34.6128615,	148.255130167,	30021.1
15:31:01.81,	04:59:00,	-34.6128583333,	148.2551175,	30027.7
15:31:02.80,	04:59:01,	-34.6128526667,	148.255111667,	30034.5
15:31:03.80,	04:59:02,	-34.6128555,	148.255111167,	30041.0
15:31:04.80,	04:59:03,	-34.6128693333,	148.2551165,	30048.4
15:31:05.80,	04:59:04,	-34.612891,	148.2551255,	30055.9
15:31:06.80,	04:59:05,	-34.6129226667,	148.255139333,	30063.3
15:31:07.80,	04:59:06,	-34.6129681667,	148.255155,	30070.0
15:31:08.80,	04:59:07,	-34.6130298333,	148.255171667,	30076.0
15:31:09.80,	04:59:08,	-34.6131053333,	148.255181,	30082.6
15:31:10.80,	04:59:09,	-34.613174,	148.255184833,	30089.8
15:31:11.80,	04:59:10,	-34.6132211667,	148.255187167,	30098.1
15:31:12.80,	04:59:11,	-34.613239,	148.2551935,	30106.3
15:31:13.80,	04:59:12,	-34.6132363333,	148.255207,	30113.9
15:31:14.80,	04:59:13,	-34.6132181667,	148.255220333,	30120.5
15:31:15.80,	04:59:14,	-34.6131895,	148.255229167,	30126.6
15:31:16.80,	04:59:15,	-34.6131601667,	148.255233167,	30133.2
15:31:17.80,	04:59:16,	-34.6131431667,	148.255238667,	30140.8
15:31:18.80,	04:59:17,	-34.6131453333,	148.2552535,	30148.7
15:31:19.80,	04:59:18,	-34.6131701667,	148.255273,	30155.5
15:31:20.80,	04:59:19,	-34.6132188333,	148.2552875,	30162.0
15:31:21.80,	04:59:20,	-34.613279,	148.2552925,	30169.2
15:31:22.80,	04:59:21,	-34.6133296667,	148.255289333,	30176.6
15:31:23.80,	04:59:22,	-34.6133483333,	148.255287833,	30184.2
15:31:24.80,	04:59:23,	-34.6133366667,	148.255292167,	30190.9
15:31:25.80,	04:59:24,	-34.6133025,	148.255305,	30196.7
15:31:26.80,	04:59:25,	-34.6132576667,	148.255321667,	30202.9
15:31:27.80,	04:59:26,	-34.6132231667,	148.255319333,	30209.6
15:31:28.80,	04:59:27,	-34.613217,	148.255293333,	30217.6
15:31:29.80,	04:59:28,	-34.6132323333,	148.255255667,	30224.8
15:31:30.80,	04:59:29,	-34.613266,	148.255217167,	30231.8
15:31:31.80,	04:59:30,	-34.6133076667,	148.255180833,	30239.1
15:31:32.80,	04:59:31,	-34.6133438333,	148.255147667,	30246.6
15:31:33.80,	04:59:32,	-34.6133645,	148.255126833,	30254.7
15:31:34.80,	04:59:33,	-34.6133651667,	148.255118167,	30262.8
15:31:35.80,	04:59:34,	-34.6133468333,	148.2551245,	30269.3
15:31:36.80,	04:59:35,	-34.6133138333,	148.255147167,	30275.7
15:31:37.80,	04:59:36,	-34.6132833333,	148.255180833,	30282.9
15:31:38.80,	04:59:37,	-34.6132743333,	148.255209167,	30291.0
15:31:39.80,	04:59:38,	-34.613288,	148.255222,	30299.2
15:31:40.80,	04:59:39,	-34.613317,	148.255214167,	30306.2
15:31:41.80,	04:59:40,	-34.6133583333,	148.255188,	30312.6
15:31:42.80,	04:59:41,	-34.613401,	148.255155333,	30319.1
15:31:43.80,	04:59:42,	-34.613437,	148.255129333,	30326.6
15:31:44.80,	04:59:43,	-34.6134595,	148.2551195,	30334.3
15:31:45.80,	04:59:44,	-34.6134648333,	148.255118333,	30342.1
15:31:46.80,	04:59:45,	-34.6134536667,	148.255119333,	30349.9
15:31:47.80,	04:59:46,	-34.6134255,	148.255121333,	30356.4
15:31:48.80,	04:59:47,	-34.6133828333,	148.255128333,	30362.9
15:31:49.80,	04:59:48,	-34.613335,	148.255145,	30369.7
15:31:50.80,	04:59:49,	-34.6133003333,	148.255165833,	30377.3
15:31:51.80,	04:59:50,	-34.6132883333,	148.2551795,	30385.6
15:31:52.80,	04:59:51,	-34.6132978333,	148.255181833,	30393.2
15:31:53.80,	04:59:52,	-34.6133273333,	148.255170833,	30399.4
15:31:54.79,	04:59:53,	-34.6133716667,	148.255158833,	30406.3
15:31:55.80,	04:59:54,	-34.6134141667,	148.255151333,	30414.2
15:31:56.80,	04:59:55,	-34.6134335,	148.255152,	30422.8
15:31:57.80,	04:59:56,	-34.6134211667,	148.255151833,	30430.5
15:31:58.80,	04:59:57,	-34.613384,	148.255142667,	30437.1
15:31:59.80,	04:59:58,	-34.6133378333,	148.2551165,	30444.1
15:32:00.80,	04:59:59,	-34.613305,	148.255082667,	30451.7
15:32:01.80,	05:00:00,	-34.6132995,	148.255051167,	30459.3
15:32:02.79,	05:00:01,	-34.6133208333,	148.255027833,	30466.6
15:32:03.80,	05:00:02,	-34.6133596667,	148.255010333,	30473.4
15:32:04.80,	05:00:03,	-34.6134055,	148.254994833,	30479.6
15:32:05.80,	05:00:04,	-34.6134545,	148.254983833,	30485.9
15:32:06.79,	05:00:05,	-34.6134981667,	148.254977167,	30492.6
15:32:07.80,	05:00:06,	-34.6135323333,	148.254973,	30499.7
15:32:08.80,	05:00:07,	-34.6135543333,	148.254971,	30507.5
15:32:09.81,	05:00:08,	-34.6135716667,	148.254974,	30515.9
15:32:10.79,	05:00:09,	-34.61357,	148.254985333,	30522.9
15:32:11.80,	05:00:10,	-34.6135518333,	148.255008833,	30528.8
15:32:12.80,	05:00:11,	-34.613519,	148.255034,	30535.0
15:32:13.80,	05:00:12,	-34.6134798333,	148.255044833,	30542.0
15:32:14.80,	05:00:13,	-34.6134555,	148.255038,	30550.3
15:32:15.80,	05:00:14,	-34.6134518333,	148.255024,	30558.9
15:32:16.80,	05:00:15,	-34.6134688333,	148.255017333,	30567.1
15:32:17.80,	05:00:16,	-34.6134981667,	148.255012167,	30573.9
15:32:18.80,	05:00:17,	-34.6135358333,	148.255003167,	30580.4
15:32:19.80,	05:00:18,	-34.6135708333,	148.254985667,	30588.0
15:32:20.80,	05:00:19,	-34.6135908333,	148.254958,	30596.1
15:32:21.80,	05:00:20,	-34.6135893333,	148.254931,	30603.6
15:32:22.80,	05:00:21,	-34.6135653333,	148.254907167,	30610.4
15:32:23.80,	05:00:22,	-34.6135173333,	148.2548945,	30617.6
15:32:24.80,	05:00:23,	-34.6134723333,	148.254883333,	30626.5
15:32:25.80,	05:00:24,	-34.6134538333,	148.2548635,	30634.6
15:32:26.80,	05:00:25,	-34.6134611667,	148.254838,	30640.0
15:32:27.80,	05:00:26,	-34.6135046667,	148.254817833,	30646.0
15:32:28.80,	05:00:27,	-34.6135688333,	148.2548085,	30654.2
15:32:29.80,	05:00:28,	-34.6136206667,	148.2548035,	30662.9
15:32:30.80,	05:00:29,	-34.6136365,	148.254799,	30671.3
15:32:31.80,	05:00:30,	-34.6136201667,	148.254794333,	30678.7
15:32:32.80,	05:00:31,	-34.6135843333,	148.254782667,	30685.2
15:32:33.80,	05:00:32,	-34.6135546667,	148.254772,	30692.5
15:32:34.80,	05:00:33,	-34.613542,	148.254761,	30700.3
15:32:35.80,	05:00:34,	-34.613553,	148.2547505,	30708.3
15:32:36.80,	05:00:35,	-34.6135891667,	148.254739,	30715.9
15:32:37.80,	05:00:36,	-34.6136465,	148.254723167,	30722.6
15:32:38.80,	05:00:37,	-34.6137155,	148.254703,	30729.6
15:32:39.80,	05:00:38,	-34.6137796667,	148.2546795,	30737.4
15:32:40.80,	05:00:39,	-34.6138263333,	148.254657667,	30746.0
15:32:41.80,	05:00:40,	-34.6138468333,	148.254638833,	30754.2
15:32:42.80,	05:00:41,	-34.6138416667,	148.254625333,	30761.0
15:32:43.79,	05:00:42,	-34.6138193333,	148.254621,	30767.6
