Timestamp,	Gyro_x,	Gyro_y,	Gyro_z,	Acc_x,	Acc_y,	Acc_z,	Orie_x,	Orie_y,	Orie_z,	Orie_w,	Temp_C
15:30:36.97,	0.036,	-0.066,	-0.294,	-0.200,	0.200,	-0.950,	-0.017,	0.045,	-0.790,	-0.611,	7.00
15:30:37.01,	0.034,	-0.064,	-0.296,	-0.220,	0.190,	-0.960,	-0.019,	0.045,	-0.788,	-0.614,	7.00
15:30:37.06,	0.038,	-0.059,	-0.296,	-0.240,	0.170,	-0.970,	-0.021,	0.044,	-0.786,	-0.616,	7.00
15:30:37.10,	0.044,	-0.061,	-0.299,	-0.270,	0.130,	-0.930,	-0.023,	0.044,	-0.783,	-0.620,	7.00
15:30:37.15,	0.064,	-0.063,	-0.307,	-0.300,	0.070,	-0.940,	-0.025,	0.043,	-0.779,	-0.625,	7.00
15:30:37.20,	0.073,	-0.067,	-0.308,	-0.310,	0.020,	-0.940,	-0.027,	0.043,	-0.775,	-0.630,	7.00
15:30:37.25,	0.072,	-0.073,	-0.309,	-0.330,	-0.010,	-0.930,	-0.029,	0.042,	-0.772,	-0.634,	7.00
15:30:37.29,	0.076,	-0.079,	-0.306,	-0.350,	-0.060,	-0.860,	-0.031,	0.041,	-0.768,	-0.638,	7.00
15:30:37.34,	0.092,	-0.088,	-0.310,	-0.390,	-0.080,	-0.860,	-0.034,	0.040,	-0.764,	-0.643,	7.00
15:30:37.39,	0.100,	-0.097,	-0.312,	-0.400,	-0.130,	-0.850,	-0.036,	0.039,	-0.759,	-0.649,	7.00
15:30:37.43,	0.096,	-0.097,	-0.313,	-0.420,	-0.200,	-0.790,	-0.037,	0.039,	-0.755,	-0.653,	7.00
15:30:37.48,	0.102,	-0.091,	-0.313,	-0.440,	-0.210,	-0.780,	-0.039,	0.038,	-0.751,	-0.658,	7.00
15:30:37.53,	0.118,	-0.081,	-0.314,	-0.440,	-0.250,	-0.730,	-0.041,	0.036,	-0.746,	-0.663,	7.00
15:30:37.57,	0.129,	-0.083,	-0.319,	-0.410,	-0.310,	-0.650,	-0.042,	0.035,	-0.742,	-0.668,	7.00
15:30:37.62,	0.124,	-0.097,	-0.317,	-0.420,	-0.370,	-0.640,	-0.043,	0.034,	-0.735,	-0.675,	7.00
15:30:37.67,	0.127,	-0.113,	-0.313,	-0.430,	-0.380,	-0.560,	-0.044,	0.034,	-0.730,	-0.681,	7.00
15:30:37.72,	0.134,	-0.116,	-0.319,	-0.440,	-0.390,	-0.510,	-0.045,	0.034,	-0.725,	-0.686,	7.00
15:30:37.76,	0.150,	-0.111,	-0.321,	-0.440,	-0.470,	-0.450,	-0.046,	0.033,	-0.718,	-0.693,	7.00
15:30:37.81,	0.148,	-0.099,	-0.317,	-0.430,	-0.480,	-0.370,	-0.047,	0.032,	-0.711,	-0.701,	7.00
15:30:37.86,	0.146,	-0.096,	-0.317,	-0.420,	-0.510,	-0.300,	-0.047,	0.032,	-0.704,	-0.708,	7.00
15:30:37.91,	0.157,	-0.099,	-0.318,	-0.400,	-0.530,	-0.260,	-0.047,	0.031,	-0.696,	-0.716,	7.00
15:30:37.95,	0.164,	-0.108,	-0.317,	-0.400,	-0.540,	-0.200,	-0.048,	0.031,	-0.692,	-0.720,	7.00
15:30:38.00,	0.166,	-0.116,	-0.317,	-0.390,	-0.570,	-0.140,	-0.048,	0.031,	-0.684,	-0.727,	7.00
15:30:38.05,	0.162,	-0.112,	-0.316,	-0.390,	-0.580,	-0.090,	-0.049,	0.031,	-0.676,	-0.735,	7.00
15:30:38.10,	0.168,	-0.104,	-0.317,	-0.390,	-0.590,	-0.080,	-0.049,	0.031,	-0.667,	-0.743,	7.00
15:30:38.15,	0.171,	-0.096,	-0.314,	-0.370,	-0.610,	0.050,	-0.049,	0.030,	-0.658,	-0.751,	7.00
15:30:38.19,	0.172,	-0.092,	-0.316,	-0.350,	-0.650,	0.150,	-0.048,	0.030,	-0.649,	-0.759,	7.00
15:30:38.24,	0.169,	-0.090,	-0.311,	-0.320,	-0.650,	0.190,	-0.048,	0.030,	-0.640,	-0.767,	7.00
15:30:38.29,	0.169,	-0.093,	-0.311,	-0.320,	-0.630,	0.240,	-0.048,	0.030,	-0.629,	-0.775,	7.00
15:30:38.33,	0.171,	-0.090,	-0.310,	-0.300,	-0.640,	0.290,	-0.047,	0.030,	-0.620,	-0.783,	7.00
15:30:38.38,	0.177,	-0.090,	-0.311,	-0.310,	-0.670,	0.290,	-0.047,	0.031,	-0.609,	-0.791,	7.00
15:30:38.42,	0.173,	-0.086,	-0.311,	-0.290,	-0.690,	0.330,	-0.047,	0.031,	-0.600,	-0.798,	7.00
15:30:38.47,	0.164,	-0.077,	-0.307,	-0.270,	-0.680,	0.330,	-0.046,	0.031,	-0.588,	-0.807,	7.00
15:30:38.51,	0.164,	-0.070,	-0.307,	-0.260,	-0.690,	0.340,	-0.045,	0.031,	-0.576,	-0.816,	7.00
15:30:38.56,	0.172,	-0.069,	-0.307,	-0.260,	-0.690,	0.370,	-0.045,	0.031,	-0.571,	-0.819,	7.00
15:30:38.61,	0.170,	-0.064,	-0.306,	-0.250,	-0.700,	0.400,	-0.044,	0.031,	-0.559,	-0.827,	7.00
15:30:38.65,	0.161,	-0.066,	-0.303,	-0.230,	-0.690,	0.390,	-0.044,	0.031,	-0.549,	-0.834,	7.00
15:30:38.70,	0.164,	-0.067,	-0.306,	-0.220,	-0.700,	0.410,	-0.043,	0.031,	-0.536,	-0.842,	7.00
15:30:38.75,	0.173,	-0.062,	-0.306,	-0.220,	-0.680,	0.410,	-0.042,	0.032,	-0.525,	-0.849,	7.00
15:30:38.79,	0.166,	-0.053,	-0.303,	-0.190,	-0.710,	0.420,	-0.042,	0.032,	-0.515,	-0.856,	7.00
15:30:38.84,	0.154,	-0.039,	-0.301,	-0.160,	-0.680,	0.470,	-0.041,	0.032,	-0.503,	-0.863,	7.00
15:30:38.89,	0.159,	-0.039,	-0.300,	-0.180,	-0.680,	0.470,	-0.040,	0.031,	-0.493,	-0.869,	7.00
15:30:38.94,	0.164,	-0.044,	-0.304,	-0.140,	-0.680,	0.430,	-0.040,	0.031,	-0.481,	-0.875,	7.00
15:30:38.98,	0.162,	-0.048,	-0.302,	-0.140,	-0.710,	0.430,	-0.039,	0.032,	-0.469,	-0.881,	7.00
15:30:39.03,	0.157,	-0.039,	-0.303,	-0.150,	-0.680,	0.410,	-0.038,	0.032,	-0.459,	-0.887,	7.00
15:30:39.08,	0.158,	-0.031,	-0.303,	-0.140,	-0.670,	0.390,	-0.038,	0.032,	-0.449,	-0.892,	7.00
15:30:39.12,	0.159,	-0.023,	-0.302,	-0.130,	-0.690,	0.370,	-0.037,	0.031,	-0.439,	-0.897,	7.00
15:30:39.17,	0.159,	-0.020,	-0.301,	-0.090,	-0.680,	0.380,	-0.037,	0.031,	-0.429,	-0.902,	7.00
